City,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,AQI,AQI_Bucket,Month,Year
Ahmedabad,48.57,95.68,0.97,15.69,16.46,15.85,0.97,24.55,34.06,3.68,5.5,118,1,1,2015
Ahmedabad,48.57,95.68,1.7,18.48,17.97,15.85,1.7,18.59,36.08,4.43,10.14,118,1,1,2015
Ahmedabad,48.57,95.68,9.89,7.04,0,15.85,0.89,8.29,4.55,0,0,118,1,1,2015
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,2,2015
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,2,2015
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,2,2015
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,3,2015
Ahmedabad,65.37,95.68,0.64,8.07,8.57,15.85,0.64,16.31,8.02,1.63,4.34,105,1,7,2015
Ahmedabad,56.28,95.68,0.6,8.02,8.51,15.85,0.6,18.93,6.2,1.52,3.74,101,1,7,2015
Ahmedabad,48.17,95.68,0.65,8,8.55,15.85,0.65,18.99,7.97,1.23,4.74,93,3,7,2015
Ahmedabad,33.56,95.68,0.72,7.89,8.56,15.85,0.72,11.28,10.18,0.61,3.85,67,3,7,2015
Ahmedabad,31.3,95.68,0.55,8.1,8.49,15.85,0.55,10.29,7.44,0.52,2.31,60,3,7,2015
Ahmedabad,34.72,95.68,0.1,9.73,7.88,15.85,0.1,13.62,4.87,1.44,5.22,78,3,7,2015
Ahmedabad,29.22,95.68,0.06,9.57,7.77,15.85,0.06,13.58,5.08,1.37,3.65,48,0,7,2015
Ahmedabad,29.79,95.68,0.14,8.64,7.97,15.85,0.14,15.11,5.34,0.36,1.05,53,3,7,2015
Ahmedabad,59.95,95.68,0.18,8.78,8.16,15.85,0.18,11.52,2.79,0.52,1.23,91,3,7,2015
Ahmedabad,19.2,95.68,1.52,9.45,9.74,15.85,1.52,11.23,4.61,1.29,3.29,70,3,7,2015
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,9,2015
Ahmedabad,54.59,95.68,2.31,18.33,20.64,15.85,2.31,19.08,42.43,3.47,10.25,114,1,10,2015
Ahmedabad,46.5,95.68,1.22,12.1,13.32,15.85,1.22,13.73,61.56,1.9,4.5,143,1,10,2015
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,11,2015
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,11,2015
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,11,2015
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,11,2015
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,11,2015
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,11,2015
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,11,2015
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,11,2015
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,11,2015
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,11,2015
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,11,2015
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,11,2015
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,11,2015
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,11,2015
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,11,2015
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,11,2015
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,11,2015
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,11,2015
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,11,2015
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,11,2015
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,11,2015
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,11,2015
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,11,2015
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,12,2015
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,12,2015
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,12,2015
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,12,2015
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,12,2015
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,12,2015
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,12,2015
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,12,2015
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,12,2015
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,12,2015
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,12,2015
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,12,2015
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,12,2015
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,12,2015
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,12,2015
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,12,2015
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,12,2015
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,12,2015
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,12,2015
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,12,2015
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,12,2015
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,12,2015
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,12,2015
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,12,2015
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,12,2015
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,12,2015
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,12,2015
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,12,2015
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,12,2015
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,12,2015
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,12,2015
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,1,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,1,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,1,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,1,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,1,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,1,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,1,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,1,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,1,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,1,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,1,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,1,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,1,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,1,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,1,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,1,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,1,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,1,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,1,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,1,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,1,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,1,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,1,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,1,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,1,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,1,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,1,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,1,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,1,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,1,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,1,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,2,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,2,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,2,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,2,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,2,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,2,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,2,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,2,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,2,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,2,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,2,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,2,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,2,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,2,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,2,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,2,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,2,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,2,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,2,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,2,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,2,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,2,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,2,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,2,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,2,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,2,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,2,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,2,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,2,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,3,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,3,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,3,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,3,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,3,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,3,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,3,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,3,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,3,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,3,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,3,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,3,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,3,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,3,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,3,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,3,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,3,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,3,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,3,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,3,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,3,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,3,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,3,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,3,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,3,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,3,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,3,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,3,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,3,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,3,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,3,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,4,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,4,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,4,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,4,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,4,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,4,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,4,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,4,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,4,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,4,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,4,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,4,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,4,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,4,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,4,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,4,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,4,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,4,2016
Ahmedabad,48.57,95.68,9.89,21.69,23.52,15.85,0.89,9.16,30.84,1.07,2.97,118,1,4,2016
